
seed 1: the charge starts 69,886 from the station, 4,181 from the commander
   t  | charge: phase     flee  speed  to-station | commander: to-charge  energy  shields   course     | hostile
 210 | arriving  false   136     45,740 |         67     255  255/255  mission   | false
 220 | arriving  false   136     44,380 |         63     255  255/255  mission   | false
 230 | arriving  false   136     43,020 |         60     255  255/255  mission   | false
 240 | arriving  false   136     41,660 |         57     255  255/255  mission   | false
 250 | arriving  false   136     40,300 |         53     255  255/255  mission   | false
 260 | arriving  false   136     38,940 |         50     255  255/255  mission   | false
 270 | arriving  false   136     37,580 |         47     255  255/255  mission   | false
 280 | arriving  true    160     36,105 |        177     255  155/255  mission   | false
 290 | arriving  true    160     34,505 |        195     255  185/255  mission   | false
 300 | arriving  true    160     32,905 |        213     255  216/255  mission   | false
 310 | arriving  true    160     31,305 |        230     255  246/255  mission   | false
 320 | arriving  true    160     29,706 |        248     255  255/255  mission   | false
 330 | arriving  true    160     28,106 |        266     255  255/255  mission   | false
 340 | arriving  true    160     26,506 |        283     255  255/255  mission   | false
 350 | arriving  true    160     24,907 |        301     255  255/255  mission   | false
 360 | arriving  true    160     23,307 |        319     255  255/255  mission   | false
 370 | arriving  true    160     21,708 |        336     255  255/255  mission   | false
 380 | arriving  true    160     20,108 |        354     255  255/255  mission   | false
 390 | arriving  true    160     18,509 |        372     255  255/255  mission   | false
 400 | arriving  true    160     16,910 |        389     255  255/255  mission   | false
 410 | arriving  true    160     15,311 |        407     255  255/255  mission   | false
 420 | arriving  true    160     13,712 |        425     255  255/255  mission   | false
 430 | arriving  true    160     12,114 |        442     255  255/255  mission   | false
 440 | arriving  true    160     10,516 |        460     255  255/255  mission   | false
 450 | arriving  true    160      8,919 |        478     255  255/255  mission   | false
 460 | arriving  true    160      7,323 |        495     255  255/255  mission   | false
 470 | arriving  true    160      5,729 |        513     255  255/255  mission   | false
 480 | arriving  true    160      4,140 |        625     255  255/255  mission   | false
 490 | arriving  true    160      2,565 |        605     255  255/255  mission   | false
 500 | arriving  true    160      1,068 |        600     255  255/255  mission   | false
 510 | arriving  true    160        905 |        615     255  255/255  mission   | false
 520 | arriving  true    160      2,370 |        649     255  255/255  mission   | false
 530 | arriving  true    160      3,942 |        694     255  255/255  mission   | false
 540 | arriving  true    160      5,530 |        724     255  255/255  mission   | false
 550 | arriving  true    160      7,123 |        734     255  255/255  mission   | false
 559 | arriving  true    160      8,620 |        723     255  255/255  mission   | false
  THE COMMANDER DIED at 559 s; 0 energy drops within 200 units of the charge; nearest 45
  at death: 80 above the planet, 7,900 from the station, 316,954 from the sun, speed 89

seed 7: the charge starts 71,610 from the station, 2,768 from the commander
   t  | charge: phase     flee  speed  to-station | commander: to-charge  energy  shields   course     | hostile
   0 | arriving  false   136     71,608 |      2,768     255  255/255  mission   | false
  10 | arriving  false   136     70,248 |        697     255  255/255  mission   | false
  20 | arriving  false   136     68,888 |        603     255  255/255  mission   | false
  30 | arriving  false   136     67,528 |        658     255  255/255  mission   | false
  40 | arriving  false   136     66,168 |        714     255  255/255  mission   | false
  50 | arriving  false   136     64,808 |        622     255  255/255  mission   | false
  60 | arriving  false   136     63,448 |        618     255  255/255  mission   | false
  70 | arriving  false   136     62,088 |        714     255  255/255  mission   | false
  80 | arriving  false   136     60,728 |        660     255  255/255  mission   | false
  90 | arriving  false   136     59,368 |        601     255  255/255  mission   | false
 100 | arriving  false   136     58,008 |        689     255  255/255  mission   | false
 110 | arriving  false   136     56,648 |        700     255  255/255  mission   | false
 120 | arriving  false   136     55,288 |        607     255  255/255  mission   | false
 130 | arriving  false   136     53,928 |        645     255  255/255  mission   | false
 140 | arriving  false   136     52,568 |        717     255  255/255  mission   | false
 150 | arriving  false   136     51,208 |        632     255  255/255  mission   | false
 160 | arriving  false   136     49,848 |        610     255  255/255  mission   | false
 170 | arriving  false   136     48,488 |        709     255  255/255  mission   | false
 180 | arriving  false   136     47,128 |        674     255  255/255  mission   | false
 190 | arriving  false   136     45,768 |        600     255  255/255  mission   | false
 200 | arriving  false   136     44,408 |        676     255  255/255  mission   | false
 210 | arriving  false   136     43,048 |        708     255  255/255  mission   | false
 220 | arriving  false   136     41,688 |        612     255  255/255  mission   | true
 230 | arriving  true    160     40,618 |      1,703     255  238/245  mission   | false
 240 | arriving  true    160     39,146 |        166     255  243/255  mission   | false
 250 | arriving  true    160     37,727 |        182     255  255/255  mission   | false
 260 | arriving  true    160     36,322 |        199     255  255/255  mission   | false
 270 | arriving  true    160     34,935 |        216     255  255/255  mission   | false
 280 | arriving  true    160     33,572 |        232     255  255/255  mission   | false
 290 | arriving  true    160     32,307 |        249     255  255/255  mission   | false
 300 | arriving  true    160     31,203 |        266     255  255/255  mission   | false
 310 | arriving  true    160     30,268 |        283     255  255/255  mission   | false
 320 | arriving  true    160     29,499 |        300     255  255/255  mission   | false
 330 | arriving  true    160     28,881 |        317     255  255/255  mission   | false
 340 | arriving  true    160     28,393 |        334     255  255/255  mission   | false
 350 | arriving  true    160     28,009 |        351     255  255/255  mission   | false
 360 | arriving  true    160     27,762 |        365     255  255/255  mission   | false
 370 | arriving  true    160     27,761 |        372     255  255/255  mission   | false
 380 | arriving  true    160     28,046 |        372     255  255/255  mission   | false
 390 | arriving  true    160     28,478 |        370     255  255/255  mission   | false
 400 | arriving  true    160     28,882 |        377     255  255/255  mission   | false
 410 | arriving  true    160     29,079 |        376     255  255/255  mission   | false
 420 | arriving  true    160     28,982 |        378     255  255/255  mission   | false
 430 | arriving  true    160     28,660 |        378     255  255/255  mission   | false
 440 | arriving  true    160     28,220 |        377     255  255/255  mission   | false
 450 | arriving  true    160     27,876 |        381     255  255/255  mission   | false
 460 | arriving  true    160     27,799 |        376     255  255/255  mission   | false
 470 | arriving  true    160     28,031 |        372     255  255/255  mission   | false
 480 | arriving  true    160     28,437 |        372     255  255/255  mission   | false
 490 | arriving  true    160     28,827 |        376     255  255/255  mission   | false
 500 | arriving  true    160     29,063 |        378     255  255/255  mission   | false
 510 | arriving  true    160     28,970 |        371     255  255/255  mission   | false
 520 | arriving  true    160     28,636 |        373     255  255/255  mission   | false
